epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2830.79,0.51234,0.71164,0.3616,0.83712,0.95016,0.83643,0.92833,0.82887,0.95016,0.83643,0.92308,0.82066,0.50697,0.76106,0.44456,0.83778,0.000533773,0.000533773,0.000533773
105,2856.52,0.50426,0.68697,0.35849,0.83246,0.95131,0.85502,0.94048,0.83653,0.95131,0.85502,0.93702,0.82408,0.52135,0.76754,0.4116,0.84213,0.000522771,0.000522771,0.000522771
106,2881.87,0.51494,0.68306,0.35685,0.83343,0.97477,0.86191,0.93677,0.84523,0.97477,0.86191,0.93414,0.83369,0.50246,0.79736,0.43098,0.83545,0.000511769,0.000511769,0.000511769
107,2912.61,0.49903,0.66828,0.35774,0.83159,0.97386,0.83271,0.92203,0.84584,0.97821,0.83643,0.92304,0.83254,0.48359,0.77266,0.5047,0.83399,0.000500767,0.000500767,0.000500767
108,2937.54,0.49836,0.68201,0.35463,0.83118,0.96105,0.86245,0.94901,0.84829,0.96105,0.86245,0.94397,0.83538,0.4896,0.76984,0.39065,0.83498,0.000489765,0.000489765,0.000489765
109,2966.92,0.49178,0.66289,0.35144,0.83139,0.93132,0.90732,0.94677,0.84894,0.96976,0.86989,0.94648,0.83483,0.4855,0.7837,0.37013,0.83973,0.000478762,0.000478762,0.000478762
110,2996.94,0.50248,0.6815,0.36009,0.83484,0.94839,0.88476,0.94743,0.85571,0.95397,0.88848,0.94936,0.84948,0.49504,0.75441,0.40635,0.83966,0.00046776,0.00046776,0.00046776
111,3026.21,0.50042,0.67284,0.35234,0.83405,0.94828,0.88602,0.94598,0.85313,0.95413,0.88476,0.94812,0.84228,0.48489,0.73532,0.42753,0.83274,0.000456758,0.000456758,0.000456758
112,3048.58,0.48233,0.62738,0.34266,0.83053,0.96295,0.86969,0.94099,0.85509,0.96286,0.8673,0.94061,0.84478,0.48914,0.73569,0.4145,0.83361,0.000445756,0.000445756,0.000445756
113,3076.93,0.49578,0.67634,0.35361,0.8311,0.95876,0.86245,0.9365,0.85142,0.963,0.86245,0.93835,0.84259,0.47777,0.74624,0.43622,0.83288,0.000434754,0.000434754,0.000434754
114,3102.56,0.49262,0.66296,0.34189,0.83287,0.95045,0.85567,0.93324,0.84286,0.95458,0.85938,0.9361,0.83411,0.49381,0.73971,0.42227,0.83896,0.000423751,0.000423751,0.000423751
115,3129.39,0.49261,0.66495,0.34346,0.82985,0.95971,0.85874,0.94072,0.84565,0.96387,0.86245,0.93928,0.83689,0.47748,0.72926,0.41875,0.83254,0.000412749,0.000412749,0.000412749
116,3156.15,0.4936,0.679,0.34373,0.83087,0.93658,0.87833,0.93795,0.85143,0.94796,0.86989,0.93839,0.84264,0.4871,0.75192,0.45425,0.8365,0.000401747,0.000401747,0.000401747
117,3183.16,0.49155,0.6634,0.34201,0.83104,0.93057,0.8968,0.94309,0.83993,0.95549,0.8779,0.94123,0.83696,0.50318,0.74134,0.40966,0.84016,0.000390745,0.000390745,0.000390745
118,3212.34,0.49163,0.6743,0.33894,0.83194,0.95957,0.85874,0.9397,0.84747,0.96372,0.86245,0.94121,0.84966,0.48755,0.73281,0.42519,0.83577,0.000379743,0.000379743,0.000379743
